trader_id,day,communication,rogue_active,score_nlp
T000,0,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,1,"Reconciled with middle office, numbers tie out.",0,0.005812301297132197
T000,2,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,3,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,4,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,5,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,6,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,7,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,8,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,9,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,10,"Reconciled with middle office, numbers tie out.",0,0.005812301297132197
T000,11,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,12,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,13,"Reconciled with middle office, numbers tie out.",0,0.005812301297132197
T000,14,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,15,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,16,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,17,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,18,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,19,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,20,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,21,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,22,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,23,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,24,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,25,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,26,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,27,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,28,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,29,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,30,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,31,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,32,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,33,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,34,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,35,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,36,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,37,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,38,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,39,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,40,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,41,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,42,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,43,"Reconciled with middle office, numbers tie out.",0,0.005812301297132197
T000,44,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,45,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,46,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,47,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,48,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,49,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,50,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,51,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,52,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,53,"Reconciled with middle office, numbers tie out.",0,0.005812301297132197
T000,54,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,55,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,56,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,57,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,58,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,59,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,60,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,61,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,62,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,63,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,64,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,65,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,66,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,67,"Closed the book early today, all positions within limits.",0,0.0052754868039334765
T000,68,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,69,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,70,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,71,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,72,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,73,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,74,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,75,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,76,"Risk looks fine, nothing unusual to report.",0,0.005946757649100238
T000,77,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,78,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,79,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,80,"Reconciled with middle office, numbers tie out.",0,0.005812301297132197
T000,81,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,82,"Took some profit on the rates position, staying conservative.",0,0.005524425517447066
T000,83,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,84,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,85,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
T000,86,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,87,"Quiet day on the desk, standard flow.",0,0.005148892754195064
T000,88,"Booked the client trade, confirmation sent to ops.",0,0.0059617157819216475
T000,89,"Limits checked, all green on the risk dashboard.",0,0.004302664473229794
T000,90,"Good session, hedged the EUR exposure as planned.",0,0.0054669084050941105
